,0
488576.txt,"['doc 484428.txt is 99.83424350807567 similar', 'doc 490111.txt is 90.25501962719179 similar', 'doc 489290.txt is 90.25501962719179 similar', 'doc 488763.txt is 90.25501962719179 similar', 'doc 488993.txt is 99.27563354467782 similar', 'doc 484824.txt is 99.72223805159416 similar', 'doc 484577.txt is 90.25501962719179 similar', 'doc 489330.txt is 90.25501962719179 similar', 'doc 485734.txt is 90.25501962719179 similar', 'doc 485052.txt is 90.25501962719179 similar', 'doc 485708.txt is 90.25501962719179 similar', 'doc 489718.txt is 90.25501962719179 similar', 'doc 489731.txt is 90.25501962719179 similar', 'doc 484405.txt is 90.25501962719179 similar', 'doc 485243.txt is 99.67065696547012 similar', 'doc 489914.txt is 90.25501962719179 similar', 'doc 484835.txt is 98.9992822642651 similar', 'doc 573.txt is 99.75354548856608 similar', 'doc 489231.txt is 90.25501962719179 similar', 'doc 485437.txt is 99.73643070493756 similar', 'doc 488675.txt is 99.74214229630475 similar', 'doc 485436.txt is 98.69163599108232 similar', 'doc 484933.txt is 90.25501962719179 similar', 'doc 486063.txt is 90.25501962719179 similar', 'doc 485742.txt is 90.25501962719179 similar', 'doc 485024.txt is 90.25501962719179 similar', 'doc 486049.txt is 90.25501962719179 similar', 'doc 488676.txt is 97.92648770105573 similar', 'doc 488475.txt is 90.25501962719179 similar', 'doc 489757.txt is 90.25501962719179 similar', 'doc 489838.txt is 90.25501962719179 similar', 'doc 489578.txt is 90.25501962719179 similar', 'doc 485008.txt is 90.25501962719179 similar', 'doc 489815.txt is 90.25501962719179 similar', 'doc 484300.txt is 99.20308244439487 similar', 'doc 485546.txt is 90.25501962719179 similar', 'doc 628.txt is 99.36447645916738 similar', 'doc 489209.txt is 90.25501962719179 similar', 'doc 485023.txt is 90.25501962719179 similar', 'doc 489827.txt is 90.25501962719179 similar', 'doc 489199.txt is 90.25501962719179 similar', 'doc 485760.txt is 90.25501962719179 similar', 'doc 486054.txt is 99.74088563498384 similar', 'doc 489549.txt is 99.39313133519285 similar', 'doc 485602.txt is 97.03319703219742 similar', 'doc 485776.txt is 99.7908954179385 similar', 'doc 485772.txt is 90.25501962719179 similar', 'doc 488726.txt is 90.25501962719179 similar', 'doc 488719.txt is 90.25501962719179 similar', 'doc 485375.txt is 91.4219129643379 similar', 'doc 489017.txt is 99.01926057271581 similar', 'doc 484718.txt is 92.24846198188158 similar', 'doc 486053.txt is 99.53146437381534 similar', 'doc 485214.txt is 90.25501962719179 similar', 'doc 486084.txt is 90.84765080621494 similar', 'doc 489176.txt is 90.25501962719179 similar', 'doc 489064.txt is 90.25501962719179 similar', 'doc 485312.txt is 91.51803226664465 similar', 'doc 485070.txt is 90.25501962719179 similar', 'doc 489270.txt is 90.25501962719179 similar', 'doc 489516.txt is 99.72502408922055 similar', 'doc 489066.txt is 90.25501962719179 similar', 'doc 485715.txt is 90.25501962719179 similar', 'doc 485088.txt is 90.25501962719179 similar', 'doc 489895.txt is 90.25501962719179 similar', 'doc 484427.txt is 90.25501962719179 similar', 'doc 485102.txt is 90.25501962719179 similar', 'doc 489102.txt is 97.61382016875882 similar', 'doc 484424.txt is 99.6214323325564 similar', 'doc 489539.txt is 90.25501962719179 similar']"
490339.txt,"['doc 487121.txt is 90.521730171179 similar', 'doc 14079.txt is 98.68950408970534 similar', 'doc 486363.txt is 99.52059653710725 similar', 'doc 487726.txt is 99.69237393364959 similar', 'doc 303.txt is 90.521730171179 similar', 'doc 486148.txt is 90.521730171179 similar', 'doc 488205.txt is 99.73322859082964 similar', 'doc 14052.txt is 99.31986121696032 similar', 'doc 14668.txt is 90.521730171179 similar', 'doc 486412.txt is 99.5768890737297 similar', 'doc 15013.txt is 99.65012640609122 similar', 'doc 487127.txt is 90.521730171179 similar', 'doc 486359.txt is 99.75804728870408 similar', 'doc 486371.txt is 99.8108782115451 similar', 'doc 14863.txt is 98.61519287632467 similar', 'doc 13881.txt is 90.78094984202151 similar', 'doc 488229.txt is 99.66352735636777 similar', 'doc 486616.txt is 99.40119822362777 similar', 'doc 486415.txt is 99.70511002241365 similar', 'doc 15001.txt is 90.521730171179 similar', 'doc 487247.txt is 90.521730171179 similar', 'doc 14179.txt is 90.521730171179 similar', 'doc 486672.txt is 99.05262527627657 similar', 'doc 486712.txt is 90.15234582594097 similar', 'doc 486878.txt is 99.65557668564573 similar', 'doc 14802.txt is 90.521730171179 similar', 'doc 370.txt is 99.64099667943685 similar', 'doc 488287.txt is 99.54903707281456 similar', 'doc 490147.txt is 90.521730171179 similar', 'doc 487200.txt is 90.521730171179 similar', 'doc 490146.txt is 90.521730171179 similar', 'doc 14616.txt is 90.521730171179 similar', 'doc 15051.txt is 90.521730171179 similar', 'doc 486294.txt is 97.25519040027677 similar', 'doc 15040.txt is 99.67897221800344 similar', 'doc 488031.txt is 90.07409563605495 similar', 'doc 14138.txt is 99.66477379158052 similar', 'doc 135.txt is 90.521730171179 similar', 'doc 490291.txt is 90.521730171179 similar', 'doc 486380.txt is 99.73199344504829 similar', 'doc 487129.txt is 99.66790465464781 similar', 'doc 486962.txt is 90.521730171179 similar', 'doc 13708.txt is 90.521730171179 similar', 'doc 490292.txt is 90.521730171179 similar', 'doc 452.txt is 90.521730171179 similar', 'doc 488153.txt is 96.54405993307769 similar', 'doc 679.txt is 99.1763031714227 similar', 'doc 645.txt is 99.08150373032328 similar', 'doc 488209.txt is 99.71259469319799 similar', 'doc 641.txt is 92.47469634075132 similar', 'doc 324.txt is 90.521730171179 similar', 'doc 14077.txt is 97.03014461045184 similar', 'doc 490335.txt is 98.81051039236401 similar', 'doc 486391.txt is 99.79554095613076 similar', 'doc 487925.txt is 90.521730171179 similar']"
485708.txt,"['doc 484428.txt is 90.21100707756683 similar', 'doc 490111.txt is 100.0 similar', 'doc 489290.txt is 100.0 similar', 'doc 488763.txt is 100.0 similar', 'doc 488993.txt is 91.82810146439347 similar', 'doc 485245.txt is 93.2206283644227 similar', 'doc 484577.txt is 100.0 similar', 'doc 489330.txt is 100.0 similar', 'doc 485734.txt is 100.0 similar', 'doc 485052.txt is 100.0 similar', 'doc 488576.txt is 90.25501962719179 similar', 'doc 489718.txt is 100.0 similar', 'doc 489731.txt is 100.0 similar', 'doc 484405.txt is 100.0 similar', 'doc 489914.txt is 100.0 similar', 'doc 485478.txt is 90.09830467144482 similar', 'doc 484835.txt is 92.36602178563024 similar', 'doc 485999.txt is 91.11628854714674 similar', 'doc 489231.txt is 100.0 similar', 'doc 488675.txt is 91.66745132603504 similar', 'doc 485436.txt is 90.87618704537185 similar', 'doc 484933.txt is 100.0 similar', 'doc 486063.txt is 100.0 similar', 'doc 489608.txt is 95.99189742199115 similar', 'doc 485742.txt is 100.0 similar', 'doc 485024.txt is 100.0 similar', 'doc 486049.txt is 100.0 similar', 'doc 488676.txt is 90.24069721311729 similar', 'doc 489742.txt is 90.01377257132606 similar', 'doc 488475.txt is 100.0 similar', 'doc 489757.txt is 100.0 similar', 'doc 485569.txt is 91.9782189613227 similar', 'doc 489838.txt is 100.0 similar', 'doc 489790.txt is 93.69882240088381 similar', 'doc 489578.txt is 100.0 similar', 'doc 485008.txt is 100.0 similar', 'doc 489815.txt is 100.0 similar', 'doc 484300.txt is 91.02282237508557 similar', 'doc 485546.txt is 100.0 similar', 'doc 628.txt is 91.5943047096396 similar', 'doc 489209.txt is 100.0 similar', 'doc 485023.txt is 100.0 similar', 'doc 489827.txt is 100.0 similar', 'doc 489199.txt is 100.0 similar', 'doc 485760.txt is 100.0 similar', 'doc 484523.txt is 90.20643284691539 similar', 'doc 486054.txt is 91.9412791815416 similar', 'doc 485772.txt is 100.0 similar', 'doc 488726.txt is 100.0 similar', 'doc 488719.txt is 100.0 similar', 'doc 489017.txt is 92.24571421480937 similar', 'doc 486053.txt is 92.86254603510329 similar', 'doc 485214.txt is 100.0 similar', 'doc 489176.txt is 100.0 similar', 'doc 488526.txt is 90.09830467144482 similar', 'doc 489064.txt is 100.0 similar', 'doc 485070.txt is 100.0 similar', 'doc 489270.txt is 100.0 similar', 'doc 489066.txt is 100.0 similar', 'doc 485715.txt is 100.0 similar', 'doc 485088.txt is 100.0 similar', 'doc 484369.txt is 90.09830467144482 similar', 'doc 489895.txt is 100.0 similar', 'doc 484427.txt is 100.0 similar', 'doc 485102.txt is 100.0 similar', 'doc 489102.txt is 90.49339049553812 similar', 'doc 484424.txt is 90.09662287612012 similar', 'doc 489539.txt is 100.0 similar']"
487127.txt,"['doc 487121.txt is 100.00000000000003 similar', 'doc 14079.txt is 92.19299319879 similar', 'doc 486363.txt is 90.1897858019969 similar', 'doc 303.txt is 100.00000000000003 similar', 'doc 486148.txt is 100.00000000000003 similar', 'doc 14052.txt is 90.74602375068197 similar', 'doc 14668.txt is 100.00000000000003 similar', 'doc 300.txt is 93.71944258789522 similar', 'doc 490339.txt is 90.521730171179 similar', 'doc 486359.txt is 90.27307419683603 similar', 'doc 486371.txt is 90.53883421783706 similar', 'doc 15001.txt is 100.00000000000003 similar', 'doc 487247.txt is 100.00000000000003 similar', 'doc 14179.txt is 100.00000000000003 similar', 'doc 486672.txt is 91.36501412291962 similar', 'doc 14802.txt is 100.00000000000003 similar', 'doc 370.txt is 90.211852834664 similar', 'doc 490147.txt is 100.00000000000003 similar', 'doc 487200.txt is 100.00000000000003 similar', 'doc 490146.txt is 100.00000000000003 similar', 'doc 14616.txt is 100.00000000000003 similar', 'doc 15051.txt is 100.00000000000003 similar', 'doc 135.txt is 100.00000000000003 similar', 'doc 490291.txt is 100.00000000000003 similar', 'doc 487129.txt is 90.77269726898939 similar', 'doc 486962.txt is 100.00000000000003 similar', 'doc 13708.txt is 100.00000000000003 similar', 'doc 490292.txt is 100.00000000000003 similar', 'doc 452.txt is 100.00000000000003 similar', 'doc 645.txt is 90.4421512047494 similar', 'doc 324.txt is 100.00000000000003 similar', 'doc 14129.txt is 92.68830759857262 similar', 'doc 486391.txt is 90.52492173404578 similar', 'doc 487925.txt is 100.00000000000003 similar']"
13670.txt,"['doc 14877.txt is 93.24527281208775 similar', 'doc 14135.txt is 91.0248840652938 similar']"
14692.txt,"['doc 486189.txt is 100.00000000000003 similar', 'doc 487079.txt is 100.00000000000003 similar', 'doc 487535.txt is 100.00000000000003 similar', 'doc 487618.txt is 100.00000000000003 similar', 'doc 487032.txt is 100.00000000000003 similar', 'doc 488278.txt is 100.00000000000003 similar', 'doc 13959.txt is 100.00000000000003 similar', 'doc 13938.txt is 100.00000000000003 similar', 'doc 487464.txt is 100.00000000000003 similar', 'doc 686.txt is 100.00000000000003 similar']"
13843.txt,"['doc 14737.txt is 100.0 similar', 'doc 14734.txt is 100.0 similar', 'doc 490258.txt is 92.01415037097645 similar', 'doc 14740.txt is 100.0 similar', 'doc 14594.txt is 100.0 similar', 'doc 14580.txt is 100.0 similar', 'doc 13830.txt is 100.0 similar', 'doc 13834.txt is 100.0 similar', 'doc 14590.txt is 100.0 similar', 'doc 487972.txt is 100.0 similar', 'doc 487942.txt is 100.0 similar', 'doc 15092.txt is 100.0 similar', 'doc 486394.txt is 100.0 similar', 'doc 685.txt is 100.0 similar', 'doc 487467.txt is 100.0 similar', 'doc 490322.txt is 100.0 similar']"
489718.txt,"['doc 484428.txt is 90.21100707756683 similar', 'doc 490111.txt is 100.0 similar', 'doc 489290.txt is 100.0 similar', 'doc 488763.txt is 100.0 similar', 'doc 488993.txt is 91.82810146439347 similar', 'doc 485245.txt is 93.2206283644227 similar', 'doc 484577.txt is 100.0 similar', 'doc 489330.txt is 100.0 similar', 'doc 485734.txt is 100.0 similar', 'doc 485052.txt is 100.0 similar', 'doc 488576.txt is 90.25501962719179 similar', 'doc 485708.txt is 100.0 similar', 'doc 489731.txt is 100.0 similar', 'doc 484405.txt is 100.0 similar', 'doc 489914.txt is 100.0 similar', 'doc 485478.txt is 90.09830467144482 similar', 'doc 484835.txt is 92.36602178563024 similar', 'doc 485999.txt is 91.11628854714674 similar', 'doc 489231.txt is 100.0 similar', 'doc 488675.txt is 91.66745132603504 similar', 'doc 485436.txt is 90.87618704537185 similar', 'doc 484933.txt is 100.0 similar', 'doc 486063.txt is 100.0 similar', 'doc 489608.txt is 95.99189742199115 similar', 'doc 485742.txt is 100.0 similar', 'doc 485024.txt is 100.0 similar', 'doc 486049.txt is 100.0 similar', 'doc 488676.txt is 90.24069721311729 similar', 'doc 489742.txt is 90.01377257132606 similar', 'doc 488475.txt is 100.0 similar', 'doc 489757.txt is 100.0 similar', 'doc 485569.txt is 91.9782189613227 similar', 'doc 489838.txt is 100.0 similar', 'doc 489790.txt is 93.69882240088381 similar', 'doc 489578.txt is 100.0 similar', 'doc 485008.txt is 100.0 similar', 'doc 489815.txt is 100.0 similar', 'doc 484300.txt is 91.02282237508557 similar', 'doc 485546.txt is 100.0 similar', 'doc 628.txt is 91.5943047096396 similar', 'doc 489209.txt is 100.0 similar', 'doc 485023.txt is 100.0 similar', 'doc 489827.txt is 100.0 similar', 'doc 489199.txt is 100.0 similar', 'doc 485760.txt is 100.0 similar', 'doc 484523.txt is 90.20643284691539 similar', 'doc 486054.txt is 91.9412791815416 similar', 'doc 485772.txt is 100.0 similar', 'doc 488726.txt is 100.0 similar', 'doc 488719.txt is 100.0 similar', 'doc 489017.txt is 92.24571421480937 similar', 'doc 486053.txt is 92.86254603510329 similar', 'doc 485214.txt is 100.0 similar', 'doc 489176.txt is 100.0 similar', 'doc 488526.txt is 90.09830467144482 similar', 'doc 489064.txt is 100.0 similar', 'doc 485070.txt is 100.0 similar', 'doc 489270.txt is 100.0 similar', 'doc 489066.txt is 100.0 similar', 'doc 485715.txt is 100.0 similar', 'doc 485088.txt is 100.0 similar', 'doc 484369.txt is 90.09830467144482 similar', 'doc 489895.txt is 100.0 similar', 'doc 484427.txt is 100.0 similar', 'doc 485102.txt is 100.0 similar', 'doc 489102.txt is 90.49339049553812 similar', 'doc 484424.txt is 90.09662287612012 similar', 'doc 489539.txt is 100.0 similar']"
486359.txt,"['doc 487121.txt is 90.27307419683603 similar', 'doc 14079.txt is 98.6734382402797 similar', 'doc 486363.txt is 99.63524235354741 similar', 'doc 487726.txt is 99.67655954304728 similar', 'doc 303.txt is 90.27307419683603 similar', 'doc 486148.txt is 90.27307419683603 similar', 'doc 488205.txt is 99.81317140739958 similar', 'doc 14052.txt is 99.31682193847512 similar', 'doc 14668.txt is 90.27307419683603 similar', 'doc 486412.txt is 99.55020066144998 similar', 'doc 15013.txt is 99.65868307037503 similar', 'doc 490339.txt is 99.75804728870408 similar', 'doc 487127.txt is 90.27307419683603 similar', 'doc 486371.txt is 99.92121423091764 similar', 'doc 14863.txt is 98.58182230863929 similar', 'doc 13881.txt is 90.66508965078897 similar', 'doc 488229.txt is 99.69217725147641 similar', 'doc 486616.txt is 99.30533371715669 similar', 'doc 486415.txt is 99.66996081170716 similar', 'doc 15001.txt is 90.27307419683603 similar', 'doc 487247.txt is 90.27307419683603 similar', 'doc 14179.txt is 90.27307419683603 similar', 'doc 486672.txt is 99.06532114536725 similar', 'doc 486878.txt is 99.69348871322055 similar', 'doc 14802.txt is 90.27307419683603 similar', 'doc 370.txt is 99.67315935033089 similar', 'doc 488287.txt is 99.63100173065601 similar', 'doc 490147.txt is 90.27307419683603 similar', 'doc 487200.txt is 90.27307419683603 similar', 'doc 490146.txt is 90.27307419683603 similar', 'doc 14616.txt is 90.27307419683603 similar', 'doc 15051.txt is 90.27307419683603 similar', 'doc 486294.txt is 97.07864205180617 similar', 'doc 15040.txt is 99.72718971960963 similar', 'doc 488031.txt is 90.08043210729147 similar', 'doc 14138.txt is 99.71564503949524 similar', 'doc 135.txt is 90.27307419683603 similar', 'doc 490291.txt is 90.27307419683603 similar', 'doc 486380.txt is 99.7530934919038 similar', 'doc 487129.txt is 99.65938147532317 similar', 'doc 486962.txt is 90.27307419683603 similar', 'doc 13708.txt is 90.27307419683603 similar', 'doc 490292.txt is 90.27307419683603 similar', 'doc 452.txt is 90.27307419683603 similar', 'doc 488153.txt is 96.30882877761479 similar', 'doc 679.txt is 99.11432511736153 similar', 'doc 645.txt is 99.0154469466229 similar', 'doc 488209.txt is 99.70140716712949 similar', 'doc 641.txt is 92.22414033757265 similar', 'doc 324.txt is 90.27307419683603 similar', 'doc 14077.txt is 97.01180300519985 similar', 'doc 490335.txt is 98.60931851573862 similar', 'doc 486391.txt is 99.76156450030389 similar', 'doc 487925.txt is 90.27307419683603 similar']"
486371.txt,"['doc 487121.txt is 90.53883421783706 similar', 'doc 14079.txt is 98.70815143415423 similar', 'doc 486363.txt is 99.69431081872045 similar', 'doc 487726.txt is 99.71121076997603 similar', 'doc 303.txt is 90.53883421783706 similar', 'doc 486148.txt is 90.53883421783706 similar', 'doc 488205.txt is 99.81926023710872 similar', 'doc 14052.txt is 99.33862766714982 similar', 'doc 14668.txt is 90.53883421783706 similar', 'doc 486412.txt is 99.59570408923551 similar', 'doc 15013.txt is 99.66895525976317 similar', 'doc 490339.txt is 99.8108782115451 similar', 'doc 487127.txt is 90.53883421783706 similar', 'doc 486359.txt is 99.92121423091764 similar', 'doc 14863.txt is 98.63382617969793 similar', 'doc 13881.txt is 90.79810286813826 similar', 'doc 488229.txt is 99.68235874214419 similar', 'doc 486616.txt is 99.41998004241398 similar', 'doc 486415.txt is 99.72394926521912 similar', 'doc 15001.txt is 90.53883421783706 similar', 'doc 487247.txt is 90.53883421783706 similar', 'doc 14179.txt is 90.53883421783706 similar', 'doc 486672.txt is 99.07134123233618 similar', 'doc 486878.txt is 99.674406569146 similar', 'doc 14802.txt is 90.53883421783706 similar', 'doc 370.txt is 99.65982380805043 similar', 'doc 488287.txt is 99.56784682569533 similar', 'doc 490147.txt is 90.53883421783706 similar', 'doc 487200.txt is 90.53883421783706 similar', 'doc 490146.txt is 90.53883421783706 similar', 'doc 14616.txt is 90.53883421783706 similar', 'doc 15051.txt is 90.53883421783706 similar', 'doc 486294.txt is 97.27356673169692 similar', 'doc 15040.txt is 99.6978065220806 similar', 'doc 488031.txt is 90.091115102337 similar', 'doc 14138.txt is 99.68360541287038 similar', 'doc 135.txt is 90.53883421783706 similar', 'doc 490291.txt is 90.53883421783706 similar', 'doc 486380.txt is 99.75083776746628 similar', 'doc 487129.txt is 99.68673686751318 similar', 'doc 486962.txt is 90.53883421783706 similar', 'doc 13708.txt is 90.53883421783706 similar', 'doc 490292.txt is 90.53883421783706 similar', 'doc 452.txt is 90.53883421783706 similar', 'doc 488153.txt is 96.56230189666512 similar', 'doc 679.txt is 99.19504249637386 similar', 'doc 645.txt is 99.1002251429559 similar', 'doc 488209.txt is 99.73143535022909 similar', 'doc 641.txt is 92.49216939962803 similar', 'doc 324.txt is 90.53883421783706 similar', 'doc 14077.txt is 97.04847841955505 similar', 'doc 490335.txt is 98.68839362322647 similar', 'doc 486391.txt is 99.81439728582689 similar', 'doc 487925.txt is 90.53883421783706 similar']"
489731.txt,"['doc 484428.txt is 90.21100707756683 similar', 'doc 490111.txt is 100.0 similar', 'doc 489290.txt is 100.0 similar', 'doc 488763.txt is 100.0 similar', 'doc 488993.txt is 91.82810146439347 similar', 'doc 485245.txt is 93.2206283644227 similar', 'doc 484577.txt is 100.0 similar', 'doc 489330.txt is 100.0 similar', 'doc 485734.txt is 100.0 similar', 'doc 485052.txt is 100.0 similar', 'doc 488576.txt is 90.25501962719179 similar', 'doc 485708.txt is 100.0 similar', 'doc 489718.txt is 100.0 similar', 'doc 484405.txt is 100.0 similar', 'doc 489914.txt is 100.0 similar', 'doc 485478.txt is 90.09830467144482 similar', 'doc 484835.txt is 92.36602178563024 similar', 'doc 485999.txt is 91.11628854714674 similar', 'doc 489231.txt is 100.0 similar', 'doc 488675.txt is 91.66745132603504 similar', 'doc 485436.txt is 90.87618704537185 similar', 'doc 484933.txt is 100.0 similar', 'doc 486063.txt is 100.0 similar', 'doc 489608.txt is 95.99189742199115 similar', 'doc 485742.txt is 100.0 similar', 'doc 485024.txt is 100.0 similar', 'doc 486049.txt is 100.0 similar', 'doc 488676.txt is 90.24069721311729 similar', 'doc 489742.txt is 90.01377257132606 similar', 'doc 488475.txt is 100.0 similar', 'doc 489757.txt is 100.0 similar', 'doc 485569.txt is 91.9782189613227 similar', 'doc 489838.txt is 100.0 similar', 'doc 489790.txt is 93.69882240088381 similar', 'doc 489578.txt is 100.0 similar', 'doc 485008.txt is 100.0 similar', 'doc 489815.txt is 100.0 similar', 'doc 484300.txt is 91.02282237508557 similar', 'doc 485546.txt is 100.0 similar', 'doc 628.txt is 91.5943047096396 similar', 'doc 489209.txt is 100.0 similar', 'doc 485023.txt is 100.0 similar', 'doc 489827.txt is 100.0 similar', 'doc 489199.txt is 100.0 similar', 'doc 485760.txt is 100.0 similar', 'doc 484523.txt is 90.20643284691539 similar', 'doc 486054.txt is 91.9412791815416 similar', 'doc 485772.txt is 100.0 similar', 'doc 488726.txt is 100.0 similar', 'doc 488719.txt is 100.0 similar', 'doc 489017.txt is 92.24571421480937 similar', 'doc 486053.txt is 92.86254603510329 similar', 'doc 485214.txt is 100.0 similar', 'doc 489176.txt is 100.0 similar', 'doc 488526.txt is 90.09830467144482 similar', 'doc 489064.txt is 100.0 similar', 'doc 485070.txt is 100.0 similar', 'doc 489270.txt is 100.0 similar', 'doc 489066.txt is 100.0 similar', 'doc 485715.txt is 100.0 similar', 'doc 485088.txt is 100.0 similar', 'doc 484369.txt is 90.09830467144482 similar', 'doc 489895.txt is 100.0 similar', 'doc 484427.txt is 100.0 similar', 'doc 485102.txt is 100.0 similar', 'doc 489102.txt is 90.49339049553812 similar', 'doc 484424.txt is 90.09662287612012 similar', 'doc 489539.txt is 100.0 similar']"
489080.txt,"['doc 489608.txt is 91.74505298633639 similar', 'doc 489222.txt is 94.65622636925765 similar', 'doc 489562.txt is 93.78249055242944 similar']"
14877.txt,"['doc 13670.txt is 93.24527281208775 similar', 'doc 13881.txt is 90.40434241991555 similar']"
14863.txt,"['doc 14079.txt is 97.4457204107688 similar', 'doc 486363.txt is 98.49382301488578 similar', 'doc 487726.txt is 98.59993050052418 similar', 'doc 488205.txt is 98.65982310031526 similar', 'doc 14052.txt is 98.27583263314926 similar', 'doc 486412.txt is 98.57608671704514 similar', 'doc 15013.txt is 98.80811748734224 similar', 'doc 490339.txt is 98.61519287632467 similar', 'doc 486359.txt is 98.58182230863929 similar', 'doc 486371.txt is 98.63382617969793 similar', 'doc 488229.txt is 98.66705593233681 similar', 'doc 486616.txt is 98.39859345117354 similar', 'doc 486415.txt is 98.5983856888424 similar', 'doc 486672.txt is 97.82746321189335 similar', 'doc 486878.txt is 98.57593594427301 similar', 'doc 370.txt is 98.54350290917769 similar', 'doc 488287.txt is 98.4665545415678 similar', 'doc 486294.txt is 96.9377571223506 similar', 'doc 15040.txt is 98.52753316712001 similar', 'doc 14138.txt is 98.52294619728083 similar', 'doc 486380.txt is 98.61868055599278 similar', 'doc 487129.txt is 98.51521980395535 similar', 'doc 488153.txt is 96.11341924842347 similar', 'doc 679.txt is 98.21763151589249 similar', 'doc 645.txt is 99.10507822733511 similar', 'doc 488209.txt is 98.60626175389832 similar', 'doc 641.txt is 93.00140269836697 similar', 'doc 14077.txt is 95.91023937080794 similar', 'doc 490335.txt is 97.57358266972983 similar', 'doc 486391.txt is 98.61866979382378 similar']"
13881.txt,"['doc 486363.txt is 90.31772711373294 similar', 'doc 487726.txt is 90.52877059876924 similar', 'doc 488205.txt is 90.44235883561801 similar', 'doc 14052.txt is 90.0901977068673 similar', 'doc 486412.txt is 90.46791794298574 similar', 'doc 15013.txt is 90.35102475495529 similar', 'doc 490339.txt is 90.78094984202151 similar', 'doc 486359.txt is 90.66508965078897 similar', 'doc 486371.txt is 90.79810286813826 similar', 'doc 14877.txt is 90.40434241991555 similar', 'doc 488229.txt is 90.2960973402997 similar', 'doc 486616.txt is 90.67819215457595 similar', 'doc 486415.txt is 90.64347072657702 similar', 'doc 486878.txt is 90.24368844632558 similar', 'doc 370.txt is 90.26393523717587 similar', 'doc 488287.txt is 90.29545832076136 similar', 'doc 15040.txt is 90.20874634342309 similar', 'doc 14138.txt is 90.20254173767978 similar', 'doc 486380.txt is 90.50688976793631 similar', 'doc 487129.txt is 90.29182439710974 similar', 'doc 679.txt is 90.156763298227 similar', 'doc 645.txt is 90.08440005140992 similar', 'doc 488209.txt is 90.5382378338795 similar', 'doc 14077.txt is 91.82865993312429 similar', 'doc 490335.txt is 90.2598387345963 similar', 'doc 486391.txt is 90.78415054430565 similar']"
487318.txt,['doc 487377.txt is 99.4617014102622 similar']
485533.txt,"['doc 13565.txt is 98.76814111856989 similar', 'doc 484810.txt is 98.76814111856989 similar', 'doc 484813.txt is 98.76814111856989 similar', 'doc 484806.txt is 98.76814111856989 similar']"
14724.txt,"['doc 13884.txt is 92.01465867623195 similar', 'doc 14055.txt is 97.1539228706942 similar', 'doc 367.txt is 97.23426352759093 similar', 'doc 13969.txt is 97.36623206218475 similar', 'doc 73.txt is 95.44834758355802 similar', 'doc 85.txt is 96.89767363968986 similar', 'doc 14891.txt is 90.9898162659397 similar']"
488229.txt,"['doc 14079.txt is 98.44924477922939 similar', 'doc 486363.txt is 99.75375691940408 similar', 'doc 487726.txt is 99.89655690603234 similar', 'doc 488205.txt is 99.87417162880976 similar', 'doc 14052.txt is 99.47632494448062 similar', 'doc 486412.txt is 99.79584761182221 similar', 'doc 15013.txt is 99.95064265990055 similar', 'doc 490339.txt is 99.66352735636777 similar', 'doc 486359.txt is 99.69217725147641 similar', 'doc 486371.txt is 99.68235874214419 similar', 'doc 14863.txt is 98.66705593233681 similar', 'doc 13881.txt is 90.2960973402997 similar', 'doc 486616.txt is 99.35604133970372 similar', 'doc 486415.txt is 99.83156795798614 similar', 'doc 486672.txt is 98.96007908163949 similar', 'doc 486878.txt is 99.9721380083126 similar', 'doc 370.txt is 99.84799458969148 similar', 'doc 488287.txt is 99.769900079522 similar', 'doc 486294.txt is 97.40707979114825 similar', 'doc 15040.txt is 99.92034016561716 similar', 'doc 488031.txt is 90.17347327408721 similar', 'doc 14138.txt is 99.94076835507877 similar', 'doc 486380.txt is 99.89259252048713 similar', 'doc 487129.txt is 99.80537650638688 similar', 'doc 488153.txt is 96.61132230359564 similar', 'doc 679.txt is 99.49117794974416 similar', 'doc 645.txt is 99.28964011198971 similar', 'doc 488209.txt is 99.88807399667213 similar', 'doc 641.txt is 91.69462778282667 similar', 'doc 14077.txt is 97.08183468430072 similar', 'doc 490335.txt is 98.45952055436278 similar', 'doc 486391.txt is 99.66704123543828 similar']"
